"","Protein","gene_id","description","gene_name","fc","p.value","adj.p.value"
"STAT1","STAT1","ENSG00000115415.18","signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]","STAT1",1.39055288166544,1.58677728755183e-06,0.00243787089171092
"OASL","OASL","ENSG00000135114.12","2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]","OASL",1.37875353526172,0.00145823974621411,0.0286003150225219
"DDX58","DDX58","ENSG00000107201.9","DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]","DDX58",1.36690864485119,1.05940420779005e-05,0.0044071215044066
"PARP9","PARP9","ENSG00000138496.16","poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]","PARP9",1.36369794992956,5.98640286385699e-06,0.00295728301474535
"HERC6","HERC6","ENSG00000138642.14","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]","HERC6",1.36278696249685,0.000853513433558948,0.024093464924464
"HLA-DRA","HLA-DRA","ENSG00000204287.13","major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]","HLA-DRA",1.35465370511361,0.00186708119859623,0.0306483144930796
"DTX3L","DTX3L","ENSG00000163840.9","deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]","DTX3L",1.3275204683502,1.33959684237857e-05,0.00488233004833509
"IFIT5","IFIT5","ENSG00000152778.8","interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]","IFIT5",1.30853577667724,0.000147983745359045,0.0123628143638309
"TAP1","TAP1","ENSG00000232367.5","transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]","TAP1",1.30437719816229,0.00034856639517149,0.0161332985686089
"HLA-A","HLA-A","ENSG00000224320.9","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]","HLA-A",1.30308640401292,1.3974299722879e-05,0.00488233004833509
"OAS1","OAS1","ENSG00000089127.12","2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]","OAS1",1.2936854390132,0.00385445779155727,0.0411697761952279
"HERC5","HERC5","ENSG00000138646.8","HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]","HERC5",1.21228613528802,0.000360770384995719,0.0162306157280424
"SP100","SP100","ENSG00000067066.16","SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]","SP100",1.19924846548605,0.000294583566816936,0.015119405922864
"DDX60L","DDX60L","ENSG00000181381.13","DExD/H-box 60 like [Source:HGNC Symbol;Acc:HGNC:26429]","DDX60L",1.15559497909522,5.28002371158217e-05,0.00818300145418539
"PLSCR1","PLSCR1","ENSG00000188313.12","phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]","PLSCR1",1.14991347330838,0.000370960503855489,0.0163633545158355
"IRF9","IRF9","ENSG00000213928.8","interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]","IRF9",1.14236374150797,8.78235298389688e-05,0.00991653114067442
"GBP1","GBP1","ENSG00000117228.9","guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]","GBP1",1.11872520359141,0.00011149038016628,0.0110152495604285
"HLA-DRB3","HLA-DRB3","ENSG00000196101.9","major histocompatibility complex, class II, DR beta 3 [Source:HGNC Symbol;Acc:HGNC:4951]","HLA-DRB3",1.11489529368574,0.00150582418374659,0.0289929277560957
"HLA-C","HLA-C","ENSG00000237022.10","major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]","HLA-C",1.10900642358297,2.66051895493924e-05,0.00600821194852564
"HELZ2","HELZ2","ENSG00000130589.16","helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]","HELZ2",1.10284951587615,0.00024504714805226,0.0139704040793327
"LAP3","LAP3","ENSG00000002549.12","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]","LAP3",1.0887231224671,8.36680467869592e-05,0.0098586331643259
"TNC","TNC","ENSG00000041982.15","tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]","TNC",1.08612360320534,0.00410871259369045,0.0420119849165968
"ISG20","ISG20","ENSG00000172183.14","interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]","ISG20",1.0772597128679,3.65597554313594e-06,0.00243787089171092
"CNBP","CNBP","ENSG00000169714.16","CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]","CNBP",1.0697641525843,0.000700892261302875,0.022071125232422
"SAMD9L","SAMD9L","ENSG00000177409.11","sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]","SAMD9L",1.06547843745207,0.00219273514337058,0.032762530384123
"PARP10","PARP10","ENSG00000178685.13","poly(ADP-ribose) polymerase family member 10 [Source:HGNC Symbol;Acc:HGNC:25895]","PARP10",1.05213320013784,0.00134565699739946,0.0278490949695205
"UBA7","UBA7","ENSG00000182179.12","ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]","UBA7",1.02415872535346,0.000544559128408085,0.01879561288619
"CD55","CD55","ENSG00000196352.14","CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]","CD55",0.991776351857126,1.36303367448408e-05,0.00488233004833509
"MCAM","MCAM","ENSG00000076706.16","melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6934]","MCAM",0.981408862748041,0.000171823667181453,0.0124827195914276
"IFIH1","IFIH1","ENSG00000115267.5","interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]","IFIH1",0.976795641035228,0.00013721083662044,0.0123240278709995
"GNB1","GNB1","ENSG00000078369.17","G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]","GNB1",0.969236495119671,0.00234133399247712,0.0338301789431509
"MUC13","MUC13","ENSG00000173702.7","mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]","MUC13",0.965531417030396,0.00298394035817063,0.0367256006483938
"EIF2AK2","EIF2AK2","ENSG00000055332.16","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]","EIF2AK2",0.95123227122259,0.000337752274855971,0.0160818914485638
"NT5C3A","NT5C3A","ENSG00000122643.18","5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:HGNC:17820]","NT5C3A",0.921119715762231,6.5350629259507e-06,0.00303841984510084
"HLA-DRB1","HLA-DRB1","ENSG00000196126.11","major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]","HLA-DRB1",0.91073998509963,0.000863266673447925,0.0241104586110685
"CD74","CD74","ENSG00000019582.14","CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]","CD74",0.895701729898765,0.00145014777178345,0.0286003150225219
"IFRD1","IFRD1","ENSG00000006652.13","interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]","IFRD1",0.888914133477013,0.000406294854042041,0.0163844618691239
"C3","C3","ENSG00000125730.16","complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]","C3",0.866981627464344,0.000195622724499914,0.0126931342340496
"CYR61","CYR61","ENSG00000142871.16","cysteine rich angiogenic inducer 61 [Source:HGNC Symbol;Acc:HGNC:2654]","CYR61",0.865763932752529,3.40997579948256e-06,0.00243787089171092
"PARP14","PARP14","ENSG00000173193.13","poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]","PARP14",0.859311911847294,0.000877965774588228,0.0242469704947913
"SLCO4A1","SLCO4A1","ENSG00000101187.15","solute carrier organic anion transporter family member 4A1 [Source:HGNC Symbol;Acc:HGNC:10953]","SLCO4A1",0.85610240068567,0.003366477024866,0.0387734315637176
"SAMD9","SAMD9","ENSG00000205413.7","sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]","SAMD9",0.852688597382152,2.16060509497444e-05,0.00550884602279935
"RNF213","RNF213","ENSG00000173821.19","ring finger protein 213 [Source:HGNC Symbol;Acc:HGNC:14539]","RNF213",0.844340264400537,0.000905422732209239,0.0242469704947913
"UBE2L6","UBE2L6","ENSG00000156587.15","ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]","UBE2L6",0.844274226660621,5.22047178275956e-05,0.00818300145418539
"TNFRSF11B","TNFRSF11B","ENSG00000164761.8","TNF receptor superfamily member 11b [Source:HGNC Symbol;Acc:HGNC:11909]","TNFRSF11B",0.825009976061168,3.46987890964694e-05,0.00709416790436513
"PLAUR","PLAUR","ENSG00000011422.11","plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]","PLAUR",0.808804614119709,0.00259362980278146,0.0349146825053385
"TRIM21","TRIM21","ENSG00000132109.9","tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]","TRIM21",0.797054907109894,2.12971804109185e-06,0.00243787089171092
"SDC1","SDC1","ENSG00000115884.10","syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]","SDC1",0.789414522741659,0.00397062236728299,0.0415129618928634
"WARS","WARS","ENSG00000140105.17","tryptophanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:12729]","WARS",0.785654568757302,3.38840512543452e-05,0.00709416790436513
"SERPINC1","SERPINC1","ENSG00000117601.13","serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]","SERPINC1",0.782808390069507,0.00403703557303505,0.0418010523955311
"ABHD2","ABHD2","ENSG00000140526.17","abhydrolase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18717]","ABHD2",0.781666449119165,5.98878322265511e-05,0.00830444606874841
"SP140L","SP140L","ENSG00000185404.16","SP140 nuclear body protein like [Source:HGNC Symbol;Acc:HGNC:25105]","SP140L",0.781206652458389,0.000257409414116559,0.0143279155575865
"C19orf66","C19orf66","ENSG00000130813.17","chromosome 19 open reading frame 66 [Source:HGNC Symbol;Acc:HGNC:25649]","C19orf66",0.779162854076183,0.000352369809091292,0.0161332985686089
"NMI","NMI","ENSG00000123609.10","N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]","NMI",0.777930200118033,3.21683295570388e-06,0.00243787089171092
"CLEC3B","CLEC3B","ENSG00000163815.5","C-type lectin domain family 3 member B [Source:HGNC Symbol;Acc:HGNC:11891]","CLEC3B",0.768247350518042,0.00468586101603076,0.0446229463502496
"CD38","CD38","ENSG00000004468.12","CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]","CD38",0.768233312349277,0.00440270870674159,0.0433362510810529
"IGFBP3","IGFBP3","ENSG00000146674.14","insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]","IGFBP3",0.767542490632074,4.27042860654275e-05,0.00750077060135864
"PNPT1","PNPT1","ENSG00000138035.14","polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]","PNPT1",0.757999855310958,0.000449525273669833,0.0167582622574763
"MUC1","MUC1","ENSG00000185499.16","mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]","MUC1",0.75478428761735,0.000527108571038815,0.018682807827313
"TAPBP","TAPBP","ENSG00000206281.11","TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]","TAPBP",0.751020858441018,0.00103251567967271,0.025663534377777
"GTPBP2","GTPBP2","ENSG00000172432.18","GTP binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4670]","GTPBP2",0.74295047410004,0.000908537795379721,0.0242469704947913
"PSMB9","PSMB9","ENSG00000239836.7","proteasome subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]","PSMB9",0.737145154491114,0.00268231146466516,0.0352175910576635
"PML","PML","ENSG00000140464.19","promyelocytic leukemia [Source:HGNC Symbol;Acc:HGNC:9113]","PML",0.7353449914558,0.000121724327269068,0.0117716398139587
"IFI35","IFI35","ENSG00000068079.7","interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]","IFI35",0.72473181419357,0.00353553382180881,0.039358956799404
"PSMB10","PSMB10","ENSG00000205220.11","proteasome subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]","PSMB10",0.715453571716715,0.0013564867135522,0.0279210181872827
"MAFK","MAFK","ENSG00000198517.9","MAF bZIP transcription factor K [Source:HGNC Symbol;Acc:HGNC:6782]","MAFK",0.704104165432457,0.000122575226814336,0.0117716398139587
"CYP24A1","CYP24A1","ENSG00000019186.9","cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]","CYP24A1",0.703362815732069,7.27344740554133e-05,0.00935881164583302
"AKAP12","AKAP12","ENSG00000131016.16","A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]","AKAP12",0.698956768819175,0.000198454223438334,0.0126931342340496
"LAMC2","LAMC2","ENSG00000058085.14","laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]","LAMC2",0.689981300831156,0.000335636359882802,0.0160779987182647
"CLSTN1","CLSTN1","ENSG00000171603.16","calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]","CLSTN1",0.688303725339893,0.00042798799492607,0.0167582622574763
"THEMIS2","THEMIS2","ENSG00000130775.15","thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839]","THEMIS2",0.661605461449006,0.00299470828124898,0.0367256006483938
"TDRD7","TDRD7","ENSG00000196116.7","tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]","TDRD7",0.655945806234037,0.0031459661156552,0.0375561268126162
"THBS1","THBS1","ENSG00000137801.10","thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]","THBS1",0.655551099512011,0.000269396226408921,0.0145842998187405
"SEMA7A","SEMA7A","ENSG00000138623.9","semaphorin 7A (John Milton Hagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741]","SEMA7A",0.647985120775065,0.00227981982689911,0.0333866981079413
"FBXO6","FBXO6","ENSG00000116663.10","F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]","FBXO6",0.647481400027046,0.000689748327354863,0.0218946617647102
"NFIX","NFIX","ENSG00000008441.16","nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]","NFIX",0.645378831219432,0.00315761243953754,0.0375835691827949
"SLC3A2","SLC3A2","ENSG00000168003.16","solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]","SLC3A2",0.641401000627207,4.03012922422656e-05,0.00750077060135864
"VGLL3","VGLL3","ENSG00000206538.8","vestigial like family member 3 [Source:HGNC Symbol;Acc:HGNC:24327]","VGLL3",0.638384802370687,0.00252380440001892,0.0348323260320228
"TFPI","TFPI","ENSG00000003436.15","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]","TFPI",0.627652322888407,0.00168398016009829,0.0299630841104687
"CKB","CKB","ENSG00000166165.12","creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]","CKB",0.619334084591316,0.000236300403150735,0.0137332234301721
"SPOCK2","SPOCK2","ENSG00000107742.12","SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]","SPOCK2",0.618188393658319,0.00371526097426391,0.0405040313663199
"LAMB3","LAMB3","ENSG00000196878.14","laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]","LAMB3",0.608359359009256,0.000675402018729478,0.0217007217725114
"PDE3A","PDE3A","ENSG00000172572.6","phosphodiesterase 3A [Source:HGNC Symbol;Acc:HGNC:8778]","PDE3A",0.607533012995604,0.000179434256397027,0.0124827195914276
"ERAP2","ERAP2","ENSG00000164308.16","endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]","ERAP2",0.604817868247649,0.000556280148757349,0.0190339320163554
"ICAM1","ICAM1","ENSG00000090339.8","intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]","ICAM1",0.594934945914194,0.000361410471677057,0.0162306157280424
"R3HDM4","R3HDM4","ENSG00000198858.9","R3H domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28270]","R3HDM4",0.588442467824957,0.00169677634861138,0.0299803556568332
"BCAM","BCAM","ENSG00000187244.10","basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]","BCAM",0.586405453899764,0.00211870389812631,0.0323942401155555
"OGFR","OGFR","ENSG00000060491.16","opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]","OGFR",0.564493330332302,4.97786118476196e-05,0.00818300145418539
"SMOC1","SMOC1","ENSG00000198732.10","SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]","SMOC1",0.559121265783134,0.00575779757237103,0.0487777406345344
"PLEKHA4","PLEKHA4","ENSG00000105559.11","pleckstrin homology domain containing A4 [Source:HGNC Symbol;Acc:HGNC:14339]","PLEKHA4",0.558386096069783,0.00124487687145818,0.0275311575549633
"PRSS23","PRSS23","ENSG00000150687.11","protease, serine 23 [Source:HGNC Symbol;Acc:HGNC:14370]","PRSS23",0.557976935367312,0.00205208648924514,0.0319851296632936
"SEMA3B","SEMA3B","ENSG00000012171.19","semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]","SEMA3B",0.548669367137357,0.00251162081039338,0.0348278085707882
"PSME1","PSME1","ENSG00000092010.14","proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]","PSME1",0.544105708798234,5.67125677498231e-05,0.00824629764775351
"LAMA3","LAMA3","ENSG00000053747.15","laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]","LAMA3",0.528616640604801,0.00113607598003886,0.0269940786573238
"TGFBI","TGFBI","ENSG00000120708.16","transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]","TGFBI",0.528591169535282,0.00100330154201133,0.0254169723976204
"ERAP1","ERAP1","ENSG00000164307.12","endoplasmic reticulum aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:18173]","ERAP1",0.511315328996406,0.00357294089060066,0.0396080291715395
"STAT2","STAT2","ENSG00000170581.13","signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]","STAT2",0.50959776194923,0.000172101988603099,0.0124827195914276
"LGALS3BP","LGALS3BP","ENSG00000108679.12","galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]","LGALS3BP",0.505255647813989,0.000774034275785295,0.0230866676068188
"KRT17","KRT17","ENSG00000128422.15","keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]","KRT17",0.500041095462316,0.000152276781298891,0.0124082028802726
"FOSL2","FOSL2","ENSG00000075426.11","FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]","FOSL2",0.499892762320443,0.0021697048760452,0.032762530384123
"HS3ST1","HS3ST1","ENSG00000002587.9","heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]","HS3ST1",0.496698022448504,0.000182967292490674,0.0124827195914276
"AMD1","AMD1","ENSG00000123505.15","adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]","AMD1",0.484473301902463,0.00177653660895137,0.0301325007664198
"NTHL1","NTHL1","ENSG00000065057.7","nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]","NTHL1",0.483735771917534,0.00114661417722064,0.0270015735647166
"COL12A1","COL12A1","ENSG00000111799.20","collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]","COL12A1",0.476802351610194,0.00111883520544965,0.0267977983753759
"ADAR","ADAR","ENSG00000160710.15","adenosine deaminase, RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ADAR",0.475582862543515,0.000320741498608436,0.0158446300312567
"KRT80","KRT80","ENSG00000167767.13","keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]","KRT80",0.475240991181816,0.000200792763693777,0.0126931342340496
"CMTR1","CMTR1","ENSG00000137200.12","cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]","CMTR1",0.474165665891226,7.76449512903966e-05,0.00958915148436398
"RNF31","RNF31","ENSG00000092098.16","ring finger protein 31 [Source:HGNC Symbol;Acc:HGNC:16031]","RNF31",0.47234850795885,0.00198932523700923,0.0315735475367891
"CYP2J2","CYP2J2","ENSG00000134716.9","cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]","CYP2J2",0.472179102259996,4.09835909775454e-05,0.00750077060135864
"HSPG2","HSPG2","ENSG00000142798.17","heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]","HSPG2",0.465981332852127,0.000205322074861012,0.0126931342340496
"CTGF","CTGF","ENSG00000118523.5","connective tissue growth factor [Source:HGNC Symbol;Acc:HGNC:2500]","CTGF",0.465557938264442,0.00186021658699188,0.0306315664657997
"COL22A1","COL22A1","ENSG00000169436.16","collagen type XXII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22989]","COL22A1",0.459979986499562,0.000309350361422645,0.015673751645414
"FILIP1L","FILIP1L","ENSG00000168386.18","filamin A interacting protein 1 like [Source:HGNC Symbol;Acc:HGNC:24589]","FILIP1L",0.45356089205552,0.00263643569558922,0.0349637378153309
"CASP7","CASP7","ENSG00000165806.19","caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]","CASP7",0.451423960016439,0.0017371486941534,0.03006751801439
"EHD4","EHD4","ENSG00000103966.10","EH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:3245]","EHD4",0.448001671669253,0.000144217227401697,0.0123628143638309
"NRP1","NRP1","ENSG00000099250.17","neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]","NRP1",0.446586581250611,0.00038817278774357,0.0163817029321557
"FZD2","FZD2","ENSG00000180340.6","frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]","FZD2",0.440486037535825,0.00340444857100456,0.0387734315637176
"SLFN5","SLFN5","ENSG00000166750.9","schlafen family member 5 [Source:HGNC Symbol;Acc:HGNC:28286]","SLFN5",0.440223938859097,0.000189348357244087,0.0126831306411633
"FSTL1","FSTL1","ENSG00000163430.11","follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]","FSTL1",0.43975478195883,0.00305316955615754,0.0370126567053209
"WDR74","WDR74","ENSG00000133316.15","WD repeat domain 74 [Source:HGNC Symbol;Acc:HGNC:25529]","WDR74",0.438667601700902,8.65404828481939e-05,0.00991327502075543
"PARP12","PARP12","ENSG00000059378.12","poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]","PARP12",0.4382626869942,0.00163943019160237,0.0298384540651504
"HIST3H2BB","HIST3H2BB","ENSG00000196890.4","histone cluster 3 H2B family member b [Source:HGNC Symbol;Acc:HGNC:20514]","HIST3H2BB",0.437489712995015,0.0011736288492617,0.0270015735647166
"CD81","CD81","ENSG00000110651.11","CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]","CD81",0.436957916587337,0.000674604627427068,0.0217007217725114
